claim_id,domain,statement,classification,confidence,source_repository,source_ref,source_path,source_locator,units,applies_to,supersedes,conflicts_with,notes,line_start,line_end,expected_excerpt_sha256
C-MODEL-ORDER,kinematics,Canonical leg order is LF RF RH LH,MATDOG_VERIFIED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/calibration/MATDOG_JOINT_CALIBRATION.yaml,robot.leg_order,order,MATDOG,,,Four exact legs,,,
C-MAP-LF,mapping,LF maps hip M13 upper M12 lower M11,MATDOG_VERIFIED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/calibration/MATDOG_JOINT_CALIBRATION.yaml,joints.lf_*,servo_id,MATDOG,,,Also corroborated by URDF IDs,,,
C-MAP-RF,mapping,RF maps hip M23 upper M22 lower M21,MATDOG_VERIFIED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/calibration/MATDOG_JOINT_CALIBRATION.yaml,joints.rf_*,servo_id,MATDOG,,,Also corroborated by URDF IDs,,,
C-MAP-RH,mapping,RH maps hip M33 upper M32 lower M31,MATDOG_VERIFIED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/calibration/MATDOG_JOINT_CALIBRATION.yaml,joints.rh_*,servo_id,MATDOG,,,Also corroborated by URDF IDs,,,
C-MAP-LH,mapping,LH maps hip M43 upper M42 lower M41,MATDOG_VERIFIED,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/calibration/MATDOG_JOINT_CALIBRATION.yaml,joints.lh_*,servo_id,MATDOG,,,Also corroborated by URDF IDs,,,
C-DIR-M13,direction,M13 encoder-to-q direction is -1,HARDWARE_OBSERVATION,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-02_212421_m13_lf_hip_positive_probe.result.yaml,direction,sign,M13,,C-URDF-MOTOR-DIR,Pass direction test,,,
C-DIR-M12,direction,M12 encoder-to-q direction is +1,HARDWARE_OBSERVATION,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-02_213021_m12_lf_upper_positive_probe.result.yaml,direction,sign,M12,,,Pass direction test,,,
C-DIR-M11,direction,M11 encoder-to-q direction is -1,HARDWARE_OBSERVATION,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-02_213351_m11_lf_lower_positive_probe.result.yaml,lines 17-20: direction -1 and status PASS_DIRECTION_TEST,sign,M11,,C-URDF-MOTOR-DIR,Text-only locator; do not invoke a YAML parser,17,20,9fcfc13d38e61a6528f576a7a92090402de46e13f45d84fa1d5ed94e310e33e8
C-DIR-M23,direction,M23 encoder-to-q direction is -1,HARDWARE_OBSERVATION,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-05_154026_m23_rf_hip_negative_probe.result.yaml,direction,sign,M23,,C-URDF-MOTOR-DIR,Pass direction test,,,
C-DIR-M22,direction,M22 encoder-to-q direction is -1,HARDWARE_OBSERVATION,HIGH,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration_Sessions/2026-07-05_154229_m22_rf_upper_positive_probe.result.yaml,direction,sign,M22,,,Pass direction test,,,
