unresolved_id,domain,question,current_state,required_evidence,impact,decision_id,status,classification,source_id
U-CONTACTS-22,calibration,Where are repeatable MIN and MAX contacts for the remaining 22 profiles,Only M12 MIN and MAX are physically validated,Separately authorized per-profile contact runs with versioned artifacts,No complete mechanical envelope,D-SAFE-LIMITS,OPEN,UNKNOWN,R-M12-MAX;N-MATDOG
U-SAFE-24,limits,What are the 24 operational safe limits,All safe-limit fields are null,Contact corpus collision analysis margin rationale and approval,Blocks first stand and physical motion,D-SAFE-LIMITS,OPEN,UNKNOWN,R-CAL
U-URDF-DIR,direction,What does custom URDF motorDirection mean,It conflicts with eight hardware encoder-to-q signs,Exporter and consumer trace plus migration decision,Blocks tag cleanup but not the hardware-backed registry,D-URDF-DIRECTION,OPEN,DECISION_REQUIRED,R-URDF;R-CAL
U-WORLD,frames,What is the world-to-base and ground-plane placement,World is absent from REV00,Approved transform and offline placement vectors,Blocks canonical simulation scene,D-WORLD,OPEN,UNKNOWN,R-URDF;R-STANCE-FRAME
U-FIRST-STAND,first_stand,What is the approved first-stand configuration envelope,Old target set is superseded and limits are incomplete,Safe limits collision sweep trajectory tests and supervised procedure,Blocks first stand,D-FIRST-STAND,OPEN,UNKNOWN,R-C5;R-CAL
U-IMU,imu,What MATDOG IMU mounting axes estimator and gains are valid,No MATDOG primary evidence in the foundation,BOM metrology datasets and estimator validation,Blocks stabilization,D-IMU,OPEN,UNKNOWN,X-TRANSFER
U-RATES,timing,What MATDOG real-time rates and jitter bounds are required,No accepted MATDOG rate contract,Workload budget offline timing tests and authorized measurement,Blocks real-time acceptance,D-RATES,OPEN,UNKNOWN,X-RUNTIME
U-BUS,station,Which future single-owner deployment is selected,Current Station ownership is known but future A B C is open,Architecture ADR and safety ownership tests,Blocks final runtime adapter,D-BUS-OWNER,OPEN,DECISION_REQUIRED,R-STATION-CONTRACT;X-TRANSFER
U-CONTROLLER,architecture,Where will final control and supervision execute,No final placement selected,Architecture ADR covering timing recovery deployment and authority,Blocks final architecture,D-CONTROLLER,OPEN,DECISION_REQUIRED,R-ADR-ARCH;X-TRANSFER
U-CURRENT,calibration,What physical unit and threshold characterize current telemetry,Current is only a raw diagnostic proxy,Primary specification and controlled characterization,Blocks current-derived safety thresholds,D-CURRENT-UNITS,OPEN,UNKNOWN,N-MATDOG
U-COLLISION,collision,Which reduced collision primitives or exact-mesh policy will later runtime use,Current detailed meshes support offline checks only,Validated approximation error bounds and collision regression vectors,Blocks runtime collision implementation,D-FIRST-STAND,OPEN,UNKNOWN,R-COLLISION
